date,time_et,type,pillar,concept,caption,hashtags,asset_ref,cta
2026-07-13,09:00,reel,On Glass,Pre-order announce,"2,800 years of wisdom. On your face. Pre-orders open TODAY for iOS + Apple Watch. And to everyone already at the well: founders keep everything free. Forever.",#smartglasses #stoicism #newapp #PhilosophyOnGlass,figma:iOS device-gated frame + G2 POV footage,Pre-order link in bio
2026-07-14,07:30,post,Daily Wisdom,Marcus quote card,"You have power over your mind — not outside events. Realize this, and you will find strength. — Marcus Aurelius. Day 1 of carrying this everywhere.",#stoicism #dailyquotes #marcusaurelius #PhilosophyOnGlass,sprite:marcus_aurelius 4:5 card,Save this
2026-07-15,18:30,reel,Conversations,Ask anything ep.1,"I asked a 2,000-year-old Stoic about my ex. His answer was colder than she was. This is enkiRIDION — real conversations with history's greatest minds.",#stoicadvice #askaphilosopher #lifeadvice #PhilosophyOnGlass,figma:Ask anything concept EN re-copy,Comment your question
2026-07-16,12:00,carousel,Pantheon,Meet the free three,"Three keepers of the well — free forever. Confucius. Epictetus. Ibn Sina. One ambassador from every civilization. Swipe to meet them.",#philosophy #pixelart #ancientwisdom #PhilosophyOnGlass,sprites:confucius epictetus avicenna,Which one first?
2026-07-17,18:30,reel,On Glass,Morning train POV,"POV: 6:47am. Everyone else is doomscrolling. Marcus Aurelius is on your glasses telling you the obstacle is the way.",#smartglasses #morningmotivation #stoicmindset #PhilosophyOnGlass,G2 POV + commute footage,Pre-order in bio
2026-07-18,07:30,post,Daily Wisdom,Laozi quote card,"Water is soft and stone is hard. Ask the canyon who wins. — after Laozi. Slow force beats loud force.",#taoism #dailyquotes #ancientwisdom #PhilosophyOnGlass,sprite:laozi 4:5 card,Save this
2026-07-19,18:30,reel,Pantheon,Same quote 9 languages,"One truth. Nine tongues. Fala guerreiro. Qué onda güey. Хватит ныть. 别再精神内耗了. Philosophy speaks your language — literally.",#multilingual #stoicism #languages #PhilosophyOnGlass,figma:all 9 locale lanes rapid-cut,Follow for your language
2026-07-20,07:30,post,Conversations,Oracle bait ep.1,"Drop your heaviest problem in the comments. Thursday, the right philosopher answers it. Anonymous questions via DM welcome.",#askaphilosopher #stoicadvice #lifeadvice #PhilosophyOnGlass,sprite:enki listening card,Comment now
2026-07-21,18:30,reel,Pantheon,Sprite timelapse,"17 philosophers. Every portrait hand-placed, pixel by pixel. Each one reacts to the emotional weight of what you say. This is Epictetus, born a slave, drawn free.",#pixelart #characterdesign #gameart #PhilosophyOnGlass,pixel timelapse recording,Follow the craft
2026-07-22,07:30,post,Daily Wisdom,Buddha quote card,"You yourself must strive. The awakened ones only point the way. — Buddha. Nobody is coming to do your reps.",#buddhism #dailyquotes #mindfulness #PhilosophyOnGlass,sprite:gautama_buddha 4:5 card,Save this
2026-07-23,18:30,reel,Conversations,Oracle answer ep.1,"You asked. The well answered. Best problem from Monday's comments — answered by the philosopher built for it. New round every Monday.",#stoicadvice #askaphilosopher #aicompanion #PhilosophyOnGlass,Speak screen-capture subtitled,Drop next question
